dataset,prediction_method,class,loss_metric,loss_function,lr,beta_1,monitor_metric,monitor_mode,restore_best,features,sample_rate,noise_rate,label_noise_rate,epochs,batch_size,data_length_time,repetitions,n_h_block,n_train_h_block,n_valid_h_block,n_test_h_block,h_moving_step,segments_time,segments_overlap,inner_classifier,calibration,M,datetime,running_time,n_params,decision_time,decision_overlap,Core_pesl_mean,Core_pesl_std,Core_pesl_max,Core_pesl_min,Core_mse_mean,Core_mse_std,Core_mse_max,Core_mse_min,Core_esl_mean,Core_esl_std,Core_esl_max,Core_esl_min,Core_ll_mean,Core_ll_std,Core_ll_max,Core_ll_min,Core_accuracy_mean,Core_accuracy_std,Core_accuracy_max,Core_accuracy_min,Core_precision_mean,Core_precision_std,Core_precision_max,Core_precision_min,Core_recall_mean,Core_recall_std,Core_recall_max,Core_recall_min,Core_f1_mean,Core_f1_std,Core_f1_max,Core_f1_min,MV_pesl_mean,MV_pesl_std,MV_pesl_max,MV_pesl_min,MV_esl_mean,MV_esl_std,MV_esl_max,MV_esl_min,MV_ll_mean,MV_ll_std,MV_ll_max,MV_ll_min,MV_accuracy_mean,MV_accuracy_std,MV_accuracy_max,MV_accuracy_min,MV_precision_mean,MV_precision_std,MV_precision_max,MV_precision_min,MV_recall_mean,MV_recall_std,MV_recall_max,MV_recall_min,MV_f1_mean,MV_f1_std,MV_f1_max,MV_f1_min,MS_pesl_mean,MS_pesl_std,MS_pesl_max,MS_pesl_min,MS_esl_mean,MS_esl_std,MS_esl_max,MS_esl_min,MS_ll_mean,MS_ll_std,MS_ll_max,MS_ll_min,MS_accuracy_mean,MS_accuracy_std,MS_accuracy_max,MS_accuracy_min,MS_precision_mean,MS_precision_std,MS_precision_max,MS_precision_min,MS_recall_mean,MS_recall_std,MS_recall_max,MS_recall_min,MS_f1_mean,MS_f1_std,MS_f1_max,MS_f1_min,UQ_Total_mean,UQ_Total_std,UQ_Total_max,UQ_Total_min,UQ_Model_mean,UQ_Model_std,UQ_Model_max,UQ_Model_min,UQ_Data_mean,UQ_Data_std,UQ_Data_max,UQ_Data_min,validation_metric_ms_pesl_mean,validation_metric_ms_pesl_std,validation_metric_ms_pesl_max,validation_metric_ms_pesl_min,calibration_metric_ECE_mean,calibration_metric_ECE_std,calibration_metric_ECE_max,calibration_metric_ECE_min,calibration_metric_ACE_mean,calibration_metric_ACE_std,calibration_metric_ACE_max,calibration_metric_ACE_min,calibration_metric_MCE_mean,calibration_metric_MCE_std,calibration_metric_MCE_max,calibration_metric_MCE_min,calibration_metric_MMCE_mean,calibration_metric_MMCE_std,calibration_metric_MMCE_max,calibration_metric_MMCE_min
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[UnCalibrated]_UQ:[Calibrated][Totall],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.19354849,0.017688038,0.21493311,0.16478224,0.12927593549180857,0.006549541517025487,0.1380460987216161,0.11895009248052933,0.12927593549180857,0.0065495415170254935,0.1380460987216161,0.11895009248052933,1.2727940056785816,0.056641293675897215,1.3444546711268959,1.1929167036441253,0.5982184716361931,0.0698158476072413,0.7135489920300047,0.5194561650257853,0.6152639744771168,0.07541235487859835,0.7444323108851736,0.5326789514755197,0.6058264911710927,0.0691362018775607,0.718678426688649,0.5236774433614723,0.601454997068779,0.06701377798674772,0.7089066986929661,0.5257319292899638,0.07268806,0.02238602,0.10123103,0.044455614,0.055718360547143075,0.013917101871314256,0.07214012188517023,0.029910160921098116,0.5415247307270754,0.1425109075786313,0.7332146009924343,0.27792690098531386,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.9249999999999999,0.06364688465216448,1.0,0.8333333333333333,0.9055555555555556,0.07049209744694178,1.0,0.8333333333333333,0.8974603174603176,0.07768118394520158,1.0,0.82,0.13827246,0.012991386,0.1543244,0.123330206,0.12372700983011188,0.008233885737306382,0.13583930824068757,0.10878475243131244,1.2132208205014654,0.07582086537744595,1.3291377438226424,1.079820241526491,0.9090909090909092,0.07422696190252052,1.0,0.8181818181818182,0.9416666666666665,0.04882887730901932,1.0,0.8666666666666666,0.9222222222222222,0.06285393610547087,1.0,0.8333333333333334,0.9141269841269842,0.06957905321292142,1.0,0.8266666666666668,2.3204303,0.0011229193,2.3219218,2.3120725,-4.5958636e-08,3.7681953e-06,7.1525574e-06,-7.1525574e-06,2.3204303,0.0011229507,2.3219235,2.3120725,0.1453118,0.0226667,0.18911715,0.12019872,0.25011108016121075,0.055290499716546974,0.3333402590200033,0.18318494825339687,0.21811779605327264,0.05171972792451484,0.2918023415146385,0.13663390597588249,0.372488317341566,0.07863486514849433,0.47897990989057637,0.23797324072405035,0.2396936579488184,0.053911090488975515,0.32401929215186986,0.17525547816623047
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[UnCalibrated]_UQ:[UnCalibrated][Totall],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.19354849,0.017688038,0.21493311,0.16478224,0.12927593549180857,0.006549541517025487,0.1380460987216161,0.11895009248052933,0.12927593549180857,0.0065495415170254935,0.1380460987216161,0.11895009248052933,1.2727940056785816,0.056641293675897215,1.3444546711268959,1.1929167036441253,0.5982184716361931,0.0698158476072413,0.7135489920300047,0.5194561650257853,0.6152639744771168,0.07541235487859835,0.7444323108851736,0.5326789514755197,0.6058264911710927,0.0691362018775607,0.718678426688649,0.5236774433614723,0.601454997068779,0.06701377798674772,0.7089066986929661,0.5257319292899638,0.0726725,0.022402752,0.10123506,0.044508096,0.05570280296610666,0.013893101025455394,0.07214416168787834,0.029962642697052008,0.5414054033617894,0.14236363501271496,0.7327407690559986,0.2778625233943193,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.9249999999999999,0.06364688465216448,1.0,0.8333333333333333,0.9055555555555556,0.07049209744694178,1.0,0.8333333333333333,0.8974603174603176,0.07768118394520158,1.0,0.82,0.13829528,0.012984692,0.15433812,0.12337082,0.12374981913847838,0.008225046683649992,0.13584621003357897,0.10882536109551054,1.2134715783077048,0.07577826644640873,1.3292491943153963,1.0801221131059269,0.9090909090909092,0.07422696190252052,1.0,0.8181818181818182,0.9416666666666665,0.04882887730901932,1.0,0.8666666666666666,0.9222222222222222,0.06285393610547087,1.0,0.8333333333333334,0.9141269841269842,0.06957905321292142,1.0,0.8266666666666668,2.321554,0.00028246967,2.3219266,2.3195655,-3.586152e-08,3.7833502e-06,6.914139e-06,-7.1525574e-06,2.321554,0.0002824756,2.3219292,2.3195717,0.1453118,0.0226667,0.18911715,0.12019872,0.25011108016121075,0.055290499716546974,0.3333402590200033,0.18318494825339687,0.21811779605327264,0.05171972792451484,0.2918023415146385,0.13663390597588249,0.372488317341566,0.07863486514849433,0.47897990989057637,0.23797324072405035,0.2396936579488184,0.053911090488975515,0.32401929215186986,0.17525547816623047
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[Calibrated]_UQ:[Calibrated][Totall],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.18281066,0.025133029,0.21122985,0.14632365,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714233,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714235,1.5976923167118986,0.4410557711376206,2.24903339184065,1.1203488760459999,0.5981403344272543,0.06981764031731374,0.7135489920300047,0.5194561650257853,0.6151918827114065,0.07542706383593602,0.7444323108851736,0.5326789514755197,0.6057457809208909,0.06914257754453429,0.718678426688649,0.5236774433614723,0.6013779923522994,0.0670157735911246,0.7089066986929661,0.5257319292899638,0.07271012,0.022365952,0.10123103,0.044455614,0.055740428769644725,0.013911741207311897,0.07214012188517023,0.029910160921098116,0.5417305718536244,0.14252895196132753,0.7332146009924343,0.27792690098531386,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.9249999999999999,0.06364688465216448,1.0,0.8333333333333333,0.9055555555555556,0.07049209744694178,1.0,0.8333333333333333,0.8974603174603176,0.07768118394520158,1.0,0.82,0.092099346,0.023556674,0.12488768,0.04848757,0.07512965440430687,0.023264427901037325,0.11034223990294854,0.03394211702657216,0.7246343849130029,0.21801175809499787,1.0528730637839792,0.3486316956954463,0.893939393939394,0.06247129735784331,1.0,0.8181818181818182,0.9333333333333332,0.04194352464039307,1.0,0.8666666666666666,0.9055555555555556,0.05241100628920332,1.0,0.8333333333333334,0.8982539682539684,0.05809372016405361,1.0,0.8266666666666668,2.3204303,0.0011229193,2.3219218,2.3120725,-4.5958636e-08,3.7681953e-06,7.1525574e-06,-7.1525574e-06,2.3204303,0.0011229507,2.3219235,2.3120725,0.1453118,0.0226667,0.18911715,0.12019872,0.11808759679662416,0.04649003757676011,0.18818489102706965,0.07375344532060334,0.12983531324444855,0.03326244305189346,0.19065207953967325,0.09856360388691311,0.3331506439930398,0.1189893607240111,0.579636800289154,0.19275572744466485,0.08965873158299087,0.04623325147907417,0.15510927962821264,0.048739534935958825
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[Calibrated]_UQ:[UnCalibrated][Totall],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.18281066,0.025133029,0.21122985,0.14632365,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714233,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714235,1.5976923167118986,0.4410557711376206,2.24903339184065,1.1203488760459999,0.5981403344272543,0.06981764031731374,0.7135489920300047,0.5194561650257853,0.6151918827114065,0.07542706383593602,0.7444323108851736,0.5326789514755197,0.6057457809208909,0.06914257754453429,0.718678426688649,0.5236774433614723,0.6013779923522994,0.0670157735911246,0.7089066986929661,0.5257319292899638,0.07269307,0.022384048,0.10123506,0.044508096,0.05572337256573676,0.013888075194680964,0.07214416168787834,0.029962642697052008,0.5415982695445724,0.14238014244123276,0.7327407690559986,0.2778625233943193,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.9249999999999999,0.06364688465216448,1.0,0.8333333333333333,0.9055555555555556,0.07049209744694178,1.0,0.8333333333333333,0.8974603174603176,0.07768118394520158,1.0,0.82,0.09211775,0.023520669,0.124911875,0.048570927,0.07514805213728898,0.02325323823964108,0.11036641152797046,0.03402547027508417,0.724979493711705,0.21807308793686034,1.0532820286580034,0.3490386204455368,0.893939393939394,0.06247129735784331,1.0,0.8181818181818182,0.9333333333333332,0.04194352464039307,1.0,0.8666666666666666,0.9055555555555556,0.05241100628920332,1.0,0.8333333333333334,0.8982539682539684,0.05809372016405361,1.0,0.8266666666666668,2.321554,0.00028246967,2.3219266,2.3195655,-3.586152e-08,3.7833502e-06,6.914139e-06,-7.1525574e-06,2.321554,0.0002824756,2.3219292,2.3195717,0.1453118,0.0226667,0.18911715,0.12019872,0.11808759679662416,0.04649003757676011,0.18818489102706965,0.07375344532060334,0.12983531324444855,0.03326244305189346,0.19065207953967325,0.09856360388691311,0.3331506439930398,0.1189893607240111,0.579636800289154,0.19275572744466485,0.08965873158299087,0.04623325147907417,0.15510927962821264,0.048739534935958825
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[Calibrated]_UQ:[Calibrated][Data],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.18281066,0.025133029,0.21122985,0.14632365,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714233,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714235,1.5976923167118986,0.4410557711376206,2.24903339184065,1.1203488760459999,0.5981403344272543,0.06981764031731374,0.7135489920300047,0.5194561650257853,0.6151918827114065,0.07542706383593602,0.7444323108851736,0.5326789514755197,0.6057457809208909,0.06914257754453429,0.718678426688649,0.5236774433614723,0.6013779923522994,0.0670157735911246,0.7089066986929661,0.5257319292899638,0.0727068,0.022364907,0.101225905,0.04445022,0.05573711031146717,0.01391145762169758,0.07213499412001635,0.02990476555819702,0.5417095476008267,0.14252844388249034,0.7331874035066387,0.2778854755885048,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.9249999999999999,0.06364688465216448,1.0,0.8333333333333333,0.9055555555555556,0.07049209744694178,1.0,0.8333333333333333,0.8974603174603176,0.07768118394520158,1.0,0.82,0.092096776,0.023557419,0.12488418,0.04848056,0.07512708136904545,0.023265100062841697,0.11033873159953615,0.03393510665997221,0.7246124308431506,0.21801457865075893,1.0528435708572965,0.34858216453016166,0.893939393939394,0.06247129735784331,1.0,0.8181818181818182,0.9333333333333332,0.04194352464039307,1.0,0.8666666666666666,0.9055555555555556,0.05241100628920332,1.0,0.8333333333333334,0.8982539682539684,0.05809372016405361,1.0,0.8266666666666668,2.3204303,0.0011229193,2.3219218,2.3120725,-4.5958636e-08,3.7681953e-06,7.1525574e-06,-7.1525574e-06,2.3204303,0.0011229507,2.3219235,2.3120725,0.1453118,0.0226667,0.18911715,0.12019872,0.11808759679662416,0.04649003757676011,0.18818489102706965,0.07375344532060334,0.12983531324444855,0.03326244305189346,0.19065207953967325,0.09856360388691311,0.3331506439930398,0.1189893607240111,0.579636800289154,0.19275572744466485,0.08965873158299087,0.04623325147907417,0.15510927962821264,0.048739534935958825
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[Calibrated]_UQ:[UnCalibrated][Data],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.18281066,0.025133029,0.21122985,0.14632365,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714233,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714235,1.5976923167118986,0.4410557711376206,2.24903339184065,1.1203488760459999,0.5981403344272543,0.06981764031731374,0.7135489920300047,0.5194561650257853,0.6151918827114065,0.07542706383593602,0.7444323108851736,0.5326789514755197,0.6057457809208909,0.06914257754453429,0.718678426688649,0.5236774433614723,0.6013779923522994,0.0670157735911246,0.7089066986929661,0.5257319292899638,0.07267255,0.022401145,0.101259105,0.04447376,0.05570285591849217,0.013905011955503277,0.0721681935386476,0.02992830182030037,0.5414869476302476,0.14250306669207338,0.7329662311000417,0.277665498252712,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.9249999999999999,0.06364688465216448,1.0,0.8333333333333333,0.9055555555555556,0.07049209744694178,1.0,0.8333333333333333,0.8974603174603176,0.07768118394520158,1.0,0.82,0.09210405,0.023534805,0.124919645,0.0485453,0.07513435317721084,0.023263043586115133,0.11037419311945235,0.0339998473200441,0.7248985553753488,0.21813414416999796,1.0533295640098632,0.348884673927631,0.893939393939394,0.06247129735784331,1.0,0.8181818181818182,0.9333333333333332,0.04194352464039307,1.0,0.8666666666666666,0.9055555555555556,0.05241100628920332,1.0,0.8333333333333334,0.8982539682539684,0.05809372016405361,1.0,0.8266666666666668,2.321554,0.00028246967,2.3219266,2.3195655,-3.586152e-08,3.7833502e-06,6.914139e-06,-7.1525574e-06,2.321554,0.0002824756,2.3219292,2.3195717,0.1453118,0.0226667,0.18911715,0.12019872,0.11808759679662416,0.04649003757676011,0.18818489102706965,0.07375344532060334,0.12983531324444855,0.03326244305189346,0.19065207953967325,0.09856360388691311,0.3331506439930398,0.1189893607240111,0.579636800289154,0.19275572744466485,0.08965873158299087,0.04623325147907417,0.15510927962821264,0.048739534935958825
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[Calibrated]_UQ:[Calibrated][Model],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.18281066,0.025133029,0.21122985,0.14632365,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714233,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714235,1.5976923167118986,0.4410557711376206,2.24903339184065,1.1203488760459999,0.5981403344272543,0.06981764031731374,0.7135489920300047,0.5194561650257853,0.6151918827114065,0.07542706383593602,0.7444323108851736,0.5326789514755197,0.6057457809208909,0.06914257754453429,0.718678426688649,0.5236774433614723,0.6013779923522994,0.0670157735911246,0.7089066986929661,0.5257319292899638,0.07228944,0.019972665,0.0988987,0.042457387,0.055319741475058436,0.013477992701862765,0.06980779617749132,0.02791192775062074,0.5346943243505674,0.1403732479800096,0.6783246419992544,0.2533024795549405,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.936111111111111,0.05038432540893631,1.0,0.8833333333333332,0.8944444444444445,0.08258927081843612,1.0,0.8,0.889047619047619,0.0861360873733941,1.0,0.798095238095238,0.09356633,0.025643447,0.12084343,0.04460815,0.07417238318690815,0.02336490793025363,0.10629798081815055,0.030062697883102295,0.7121708467643147,0.21772068634567648,1.011624760573905,0.3114958875010796,0.8787878787878789,0.08570991287109664,1.0,0.7272727272727273,0.9166666666666665,0.062360956446232345,1.0,0.8,0.8833333333333333,0.07876359377087679,1.0,0.7666666666666667,0.8771428571428572,0.08289362451744224,1.0,0.7466666666666666,2.3204303,0.0011229193,2.3219218,2.3120725,-4.5958636e-08,3.7681953e-06,7.1525574e-06,-7.1525574e-06,2.3204303,0.0011229507,2.3219235,2.3120725,0.1453118,0.0226667,0.18911715,0.12019872,0.11808759679662416,0.04649003757676011,0.18818489102706965,0.07375344532060334,0.12983531324444855,0.03326244305189346,0.19065207953967325,0.09856360388691311,0.3331506439930398,0.1189893607240111,0.579636800289154,0.19275572744466485,0.08965873158299087,0.04623325147907417,0.15510927962821264,0.048739534935958825
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[Calibrated]_UQ:[UnCalibrated][Model],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.18281066,0.025133029,0.21122985,0.14632365,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714233,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714235,1.5976923167118986,0.4410557711376206,2.24903339184065,1.1203488760459999,0.5981403344272543,0.06981764031731374,0.7135489920300047,0.5194561650257853,0.6151918827114065,0.07542706383593602,0.7444323108851736,0.5326789514755197,0.6057457809208909,0.06914257754453429,0.718678426688649,0.5236774433614723,0.6013779923522994,0.0670157735911246,0.7089066986929661,0.5257319292899638,0.072289445,0.019972678,0.09889865,0.042457394,0.055319752252380415,0.013477976278374666,0.06980773673865916,0.027911939275313755,0.5346943765909872,0.14037312365854832,0.6783243075271956,0.25330249123254,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.936111111111111,0.05038432540893631,1.0,0.8833333333333332,0.8944444444444445,0.08258927081843612,1.0,0.8,0.889047619047619,0.0861360873733941,1.0,0.798095238095238,0.09356633,0.02564343,0.12084341,0.044608142,0.07417238966431346,0.023364900733655474,0.10629795538192752,0.03006268911841831,0.7121708491684898,0.21772063090139526,1.0116245539506104,0.3114957874111498,0.8787878787878789,0.08570991287109664,1.0,0.7272727272727273,0.9166666666666665,0.062360956446232345,1.0,0.8,0.8833333333333333,0.07876359377087679,1.0,0.7666666666666667,0.8771428571428572,0.08289362451744224,1.0,0.7466666666666666,2.321554,0.00028246967,2.3219266,2.3195655,-3.586152e-08,3.7833502e-06,6.914139e-06,-7.1525574e-06,2.321554,0.0002824756,2.3219292,2.3195717,0.1453118,0.0226667,0.18911715,0.12019872,0.11808759679662416,0.04649003757676011,0.18818489102706965,0.07375344532060334,0.12983531324444855,0.03326244305189346,0.19065207953967325,0.09856360388691311,0.3331506439930398,0.1189893607240111,0.579636800289154,0.19275572744466485,0.08965873158299087,0.04623325147907417,0.15510927962821264,0.048739534935958825
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[Calibrated]_UQ:[-][No],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.18281066,0.025133029,0.21122985,0.14632365,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714233,0.1185256159350072,0.014364633679744684,0.1382434413340003,0.10049148601714235,1.5976923167118986,0.4410557711376206,2.24903339184065,1.1203488760459999,0.5981403344272543,0.06981764031731374,0.7135489920300047,0.5194561650257853,0.6151918827114065,0.07542706383593602,0.7444323108851736,0.5326789514755197,0.6057457809208909,0.06914257754453429,0.718678426688649,0.5236774433614723,0.6013779923522994,0.0670157735911246,0.7089066986929661,0.5257319292899638,0.072289415,0.01997267,0.09889864,0.04245734,0.05531971916003723,0.013477996949498992,0.06980773699098987,0.02791188283500345,0.5346941736872496,0.14037329626462106,0.6783245896836728,0.25330212854327533,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.936111111111111,0.05038432540893631,1.0,0.8833333333333332,0.8944444444444445,0.08258927081843612,1.0,0.8,0.889047619047619,0.0861360873733941,1.0,0.798095238095238,0.093566306,0.025643447,0.12084342,0.044608098,0.07417236639614924,0.023364917885255323,0.10629796665714447,0.030062645194029246,0.7121707027134275,0.21772074822620574,1.0116246246647072,0.31149550119627906,0.8787878787878789,0.08570991287109664,1.0,0.7272727272727273,0.9166666666666665,0.062360956446232345,1.0,0.8,0.8833333333333333,0.07876359377087679,1.0,0.7666666666666667,0.8771428571428572,0.08289362451744224,1.0,0.7466666666666666,2.321554,0.00028246967,2.3219266,2.3195655,-3.586152e-08,3.7833502e-06,6.914139e-06,-7.1525574e-06,2.321554,0.0002824756,2.3219292,2.3195717,0.1453118,0.0226667,0.18911715,0.12019872,0.11808759679662416,0.04649003757676011,0.18818489102706965,0.07375344532060334,0.12983531324444855,0.03326244305189346,0.19065207953967325,0.09856360388691311,0.3331506439930398,0.1189893607240111,0.579636800289154,0.19275572744466485,0.08965873158299087,0.04623325147907417,0.15510927962821264,0.048739534935958825
/kaggle/input/spatio-temporal-data/datasets/ConfLongDemo_JSI/,InCls:[UnCalibrated]_UQ:[-][No],5,pesl,<keras.src.losses.losses.CategoricalCrossentropy object at 0x78546d1e8d30>,0.0001,0.5,ms_pesl,min,True,"['x', 'y', 'z']",30,100,0.0,50,32,-1,5,10,5,2,3,1,0:00:03,0.75,CNN_L,LogisticCalibration,200,2024:05:04 16:17:38,5229 seconds,1489269,0:02:00,0,0.19354849,0.017688038,0.21493311,0.16478224,0.12927593549180857,0.006549541517025487,0.1380460987216161,0.11895009248052933,0.12927593549180857,0.0065495415170254935,0.1380460987216161,0.11895009248052933,1.2727940056785816,0.056641293675897215,1.3444546711268959,1.1929167036441253,0.5982184716361931,0.0698158476072413,0.7135489920300047,0.5194561650257853,0.6152639744771168,0.07541235487859835,0.7444323108851736,0.5326789514755197,0.6058264911710927,0.0691362018775607,0.718678426688649,0.5236774433614723,0.601454997068779,0.06701377798674772,0.7089066986929661,0.5257319292899638,0.07227835,0.019982338,0.09889864,0.04245734,0.05530865472445253,0.01347839427796421,0.06980773699098987,0.02791188283500345,0.5345762624684306,0.1403399343842392,0.6783245896836728,0.25330212854327533,0.893939393939394,0.08159340616870459,1.0,0.8181818181818182,0.936111111111111,0.05038432540893631,1.0,0.8833333333333332,0.8944444444444445,0.08258927081843612,1.0,0.8,0.889047619047619,0.0861360873733941,1.0,0.798095238095238,0.14494374,0.016712086,0.16912456,0.121296994,0.12312556384346073,0.008413442485920897,0.13396051620545021,0.10675153292304791,1.207171789200519,0.07628526471701041,1.30840036841833,1.0611237799985516,0.8636363636363638,0.0870388279778489,1.0,0.7272727272727273,0.9083333333333332,0.06291528696058957,1.0,0.8,0.8666666666666667,0.08388704928078608,1.0,0.7666666666666667,0.8612698412698413,0.08727618678103177,1.0,0.7466666666666666,2.321554,0.00028246967,2.3219266,2.3195655,-3.586152e-08,3.7833502e-06,6.914139e-06,-7.1525574e-06,2.321554,0.0002824756,2.3219292,2.3195717,0.1453118,0.0226667,0.18911715,0.12019872,0.25011108016121075,0.055290499716546974,0.3333402590200033,0.18318494825339687,0.21811779605327264,0.05171972792451484,0.2918023415146385,0.13663390597588249,0.372488317341566,0.07863486514849433,0.47897990989057637,0.23797324072405035,0.2396936579488184,0.053911090488975515,0.32401929215186986,0.17525547816623047
